feature_ind,sketch_id
86,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_7_22_shape_owl_7_000
87,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_8_31_shape_owl_8_042
88,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_1_25_shape_rabbit_1_041
89,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_2_32_shape_rabbit_2_065
90,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_3_11_shape_rabbit_3_020
91,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_4_24_shape_rabbit_4_062
92,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_5_17_shape_rabbit_5_057
93,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_6_8_shape_rabbit_6_081
94,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_7_15_shape_rabbit_7_006
95,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_8_1_shape_rabbit_8_007
96,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_1_15_shape_bear_1_010
97,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_2_30_shape_bear_2_024
98,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_3_18_shape_bear_3_099
99,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_4_8_shape_bear_4_033
100,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_5_12_shape_bear_5_087
101,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_6_28_shape_bear_6_093
102,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_7_24_shape_bear_7_002
103,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_8_1_shape_bear_8_056
104,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_1_26_shape_deer_1_001
105,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_2_20_shape_deer_2_098
106,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_3_4_shape_deer_3_011
107,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_4_9_shape_deer_4_049
108,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_5_32_shape_deer_5_031
109,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_6_21_shape_deer_6_094
110,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_7_7_shape_deer_7_050
111,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_8_14_shape_deer_8_010
112,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_1_2_shape_owl_1_042
113,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_2_10_shape_owl_2_076
114,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_3_29_shape_owl_3_075
115,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_4_22_shape_owl_4_087
116,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_5_5_shape_owl_5_096
117,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_6_16_shape_owl_6_097
118,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_7_25_shape_owl_7_080
119,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_8_17_shape_owl_8_059
120,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_1_19_shape_rabbit_1_013
121,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_2_6_shape_rabbit_2_017
122,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_3_11_shape_rabbit_3_025
123,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_4_27_shape_rabbit_4_010
124,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_5_23_shape_rabbit_5_027
125,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_6_3_shape_rabbit_6_086
126,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_7_13_shape_rabbit_7_032
127,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_8_31_shape_rabbit_8_082
128,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_1_24_shape_bear_1_092
129,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_2_20_shape_bear_2_063
130,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_3_12_shape_bear_3_050
131,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_4_8_shape_bear_4_088
132,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_5_27_shape_bear_5_055
133,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_6_3_shape_bear_6_067
134,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_7_16_shape_bear_7_075
135,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_8_29_shape_bear_8_036
136,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_deer_1_32_shape_deer_1_037
137,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_deer_2_25_shape_deer_2_009
138,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_deer_3_7_shape_deer_3_080
139,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_deer_4_14_shape_deer_4_002
140,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_deer_5_22_shape_deer_5_035
141,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_deer_6_11_shape_deer_6_048
142,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_deer_7_4_shape_deer_7_050
143,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_deer_8_19_shape_deer_8_028
144,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_owl_1_15_shape_owl_1_064
145,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_owl_2_10_shape_owl_2_086
146,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_owl_3_31_shape_owl_3_091
147,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_owl_4_18_shape_owl_4_024
148,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_owl_5_6_shape_owl_5_068
149,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_owl_6_21_shape_owl_6_098
150,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_owl_7_28_shape_owl_7_091
151,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_owl_8_1_shape_owl_8_090
152,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_rabbit_1_5_shape_rabbit_1_030
