,iterationName,gameID,trialNum,trialStartTime,submitTime,clickedTime,confirmTime,totalTrialDuration,PT,RT,cardinality,clicked,correct,score,symbols,symbolsProcess,targetLoc,d1,d2,messageLength,tokenRatio
33,run1,9405-503c0c48-b1d9-49d8-9da2-86a208ab837c,3,1639593261352.0,1639593281290.0,1639593292497.0,1639593293785.0,32.433,19.938,12.495,9,9,True,6,"[1, 3, 4, 1]","1639593270075:1,1639593276367:3,1639593277243:4,1639593278490:1",2,10,11,4,0.4444444444444444
34,run1,3639-b70f8243-5ebf-4ded-a53e-f4027dad69c2,8,1639593278926.0,1639593283723.0,1639593286877.0,1639593288397.0,9.471,4.797,4.674,14,12,False,15,[4],1639593281945:4,1,12,13,1,0.07142857142857142
35,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,5,1639593271053.0,1639593287964.0,1639593294184.0,1639593296540.0,25.487,16.911,8.576,15,15,True,12,"[4, 4, 4, 3]","1639593285533:4,1639593286019:4,1639593288125:4,1639593288762:3",3,16,14,4,0.26666666666666666
36,run1,0577-d0f9764e-a392-49e8-ad05-34cfb0c92275,5,1639593271484.0,1639593288244.0,1639593297348.0,1639593299334.0,27.85,16.76,11.09,14,14,True,3,[2],1639593285428:2,1,16,15,1,0.07142857142857142
37,run1,5157-3d1a9fad-c10e-4a00-8c24-a22868d60b2d,3,1639593272558.0,1639593289649.0,1639593295388.0,1639593297117.0,24.559,17.091,7.468,5,5,True,3,"[1, 1, 2, 1]","1639593161012:1,1639593162313:1,1639593163157:2,1639593163815:1",1,4,3,4,0.8
38,run1,9549-c1f18c59-6c49-47ae-8896-f452feff6da5,2,1639593275531.0,1639593289675.0,1639593295106.0,1639593296531.0,21.0,14.144,6.856,16,14,False,0,[4],1639593290156:4,1,15,14,1,0.0625
39,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,7,1639593286502.0,1639593291828.0,1639593295049.0,1639593296097.0,9.595,5.326,4.269,1,1,True,6,[1],1639593290413:1,2,2,3,1,1.0
40,run1,1910-999a012a-2df3-407f-9195-0d3ab6383c75,2,1639593289682.0,1639593297806.0,1639593301711.0,1639593302727.0,13.045,8.124,4.921,5,4,False,0,"[3, 3, 3]","1639593296499:3,1639593296898:3,1639593297226:3",3,4,6,3,0.6
41,run1,4980-5c8ed6af-41f5-4cdb-a5b1-02ad7374d5e0,1,1639593268387.0,1639593298415.0,1639593311469.0,1639593318183.0,49.796,30.028,19.768,6,7,False,0,"[1, 4, 2]","1639593285442:4,1639593291181:1,1639593294336:del,1639593294793:del,1639593296513:1,1639593298071:4,1639593299444:3,1639593302181:del,1639593303944:2",2,7,5,3,0.5
42,run1,3639-b70f8243-5ebf-4ded-a53e-f4027dad69c2,9,1639593290398.0,1639593299422.0,1639593305398.0,1639593306817.0,16.419,9.024,7.395,5,5,True,15,"[4, 4, 4]","1639593296480:4,1639593296769:4,1639593297081:4",3,4,3,3,0.6
43,run1,6180-111bc9d5-f170-42d4-b25b-5a553e7d53f4,1,1639593283487.0,1639593302033.0,1639593365055.0,1639593387688.0,104.201,18.546,85.655,11,13,False,0,"[4, 4, 2]","1639593293949:4,1639593294596:4,1639593298084:2",2,13,12,3,0.2727272727272727
44,run1,9549-c1f18c59-6c49-47ae-8896-f452feff6da5,3,1639593298534.0,1639593304789.0,1639593309781.0,1639593310682.0,12.148,6.255,5.893,2,2,True,0,[2],1639593304726:2,3,1,3,1,0.5
45,run1,9405-503c0c48-b1d9-49d8-9da2-86a208ab837c,4,1639593295788.0,1639593306351.0,1639593311237.0,1639593312225.0,16.437,10.563,5.874,6,6,True,9,"[2, 2, 2]","1639593305762:2,1639593305980:2,1639593306256:2",2,5,7,3,0.5
46,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,8,1639593298106.0,1639593308029.0,1639593317105.0,1639593318299.0,20.193,9.923,10.27,9,9,True,9,"[1, 1, 1, 3, 1, 1, 1]","1639593303276:1,1639593304241:1,1639593304687:1,1639593305772:3,1639593306466:1,1639593306786:1,1639593306977:1",3,10,8,7,0.7777777777777778
47,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,6,1639593298541.0,1639593308693.0,1639593312960.0,1639593313853.0,15.312,10.152,5.16,11,11,True,15,"[4, 4, 3]","1639593307619:4,1639593307995:4,1639593309566:3",3,10,12,3,0.2727272727272727
48,run1,0100-0250f292-3528-41a0-9ef3-f871d00ec234,5,1639593304924.0,1639593309026.0,1639593311618.0,1639593313412.0,8.488,4.102,4.386,2,2,True,12,[2],1639593307935:2,3,1,3,1,0.5
49,run1,1910-999a012a-2df3-407f-9195-0d3ab6383c75,3,1639593304734.0,1639593309636.0,1639593311668.0,1639593312333.0,7.599,4.902,2.697,2,3,False,0,"[3, 3, 3]","1639593308559:3,1639593308849:3,1639593309108:3",3,3,1,3,1.5
50,run1,0577-d0f9764e-a392-49e8-ad05-34cfb0c92275,6,1639593301344.0,1639593311770.0,1639593317437.0,1639593319898.0,18.554,10.426,8.128,5,5,True,6,[3],1639593309464:3,2,4,6,1,0.2
51,run1,3639-b70f8243-5ebf-4ded-a53e-f4027dad69c2,10,1639593308818.0,1639593313579.0,1639593320057.0,1639593321938.0,13.12,4.761,8.359,15,14,False,18,[4],1639593311368:4,1,16,14,1,0.06666666666666667
52,run1,1910-999a012a-2df3-407f-9195-0d3ab6383c75,4,1639593314337.0,1639593318141.0,1639593319931.0,1639593320621.0,6.284,3.804,2.48,14,13,False,0,[3],1639593317843:3,1,15,13,1,0.07142857142857142
53,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,7,1639593315855.0,1639593319317.0,1639593321300.0,1639593322182.0,6.327,3.462,2.865,3,3,True,18,[3],1639593320153:3,1,5,4,1,0.3333333333333333
54,run1,5157-3d1a9fad-c10e-4a00-8c24-a22868d60b2d,4,1639593299121.0,1639593319585.0,1639593336052.0,1639593337475.0,38.354,20.464,17.89,10,10,True,6,"[1, 1, 3, 2, 1, 2]","1639593184813:1,1639593186724:1,1639593189307:3,1639593190656:2,1639593191832:1,1639593192645:2",2,11,12,6,0.6
55,run1,9549-c1f18c59-6c49-47ae-8896-f452feff6da5,4,1639593312687.0,1639593320995.0,1639593325663.0,1639593326882.0,14.195,8.308,5.887,13,11,False,3,[3],1639593321468:3,3,12,11,1,0.07692307692307693
56,run1,9405-503c0c48-b1d9-49d8-9da2-86a208ab837c,5,1639593314230.0,1639593321092.0,1639593324389.0,1639593325514.0,11.284,6.862,4.422,2,2,True,12,[2],1639593319501:2,3,4,3,1,0.5
57,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,9,1639593320305.0,1639593326184.0,1639593329846.0,1639593331083.0,10.778,5.879,4.899,3,3,True,12,"[1, 1, 1]","1639593324926:1,1639593325125:1,1639593325290:1",1,4,5,3,1.0
58,run1,1910-999a012a-2df3-407f-9195-0d3ab6383c75,5,1639593322626.0,1639593326829.0,1639593328213.0,1639593328913.0,6.287,4.203,2.084,12,11,False,0,[3],1639593326462:3,1,11,13,1,0.08333333333333333
